Ref,Val,Package,PosX,PosY,Rot,Side
"Q15","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",209.777857,-105.174892,90.000000,top
"Q16","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",213.760000,-106.280701,0.000000,top
"Q17","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",189.844984,-97.631471,-90.000000,top
"Q18","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",185.566249,-98.187039,0.000000,top
"Q19","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",189.899299,-109.740000,-90.000000,top
"Q20","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",185.594697,-110.484195,0.000000,top
"Q21","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",209.836386,-97.491471,90.000000,top
"Q22","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",213.738529,-98.176386,0.000000,top
"Q23","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",209.917857,-109.715786,90.000000,top
"Q24","SP40N03GNJ","POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL",213.770000,-110.340701,0.000000,top
"R1","0.5mR","R_2512_6332Metric",199.700000,-110.000000,90.000000,top
"U12","VESC","VESC",139.500000,-110.000000,0.000000,top
