"Value","Description","Reference","Footprint","Qty","MANUFACTURER","MANUFACTURER PART NUMBER","LCSC","Distributor Link","Datasheet"
"NCP167BMX330TBG","Linear Voltage Regulator IC Positive Fixed 1 Output 700mA 4-XDFN (1x1)","U3","NCP167BMX330TBG:VREG_NCP167BMX330TBG","1","Onsemi","NCP167BMX330TBG","C892227","https://www.lcsc.com/product-detail/C892227.html?s_z=s_p_NCP167BMX330TBG&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbX1xVQVNeXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C892227.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbX1xVQVNeXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"SM03B-SRSS-TB_LF__SN_","Connector Header Surface Mount, Right Angle 3 position 0.039 (1.00mm)","J3,J5,J7,J8,J12","SM03B-SRSS-TB_LF__SN_:JST_SM03B-SRSS-TB_LF__SN_","5","HCTL","HC-1.0-3PWT","C2845362","https://www.lcsc.com/product-detail/C2845362.html?s_z=n_q_SM03B-SRSS-TB_LF__SN_&spm=wm.fly.bg.1.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbX11fQFFdVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1hcVVZRWQkaCgg%3D","https://www.lcsc.com/datasheet/C2845362.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.1.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbX11fQFFdVjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slT1hcVVZRWQkaCgg%3D"
"SM04B-SRSS-TB_LF__SN_","Connector Header Surface Mount, Right Angle 4 position 0.039 (1.00mm)","J10,J13,J14","SM04B-SRSS-TB_LF__SN_:JST_SM04B-SRSS-TB_LF__SN_","3","HCTL","HC-1.0-4PWT","C2845363","https://www.lcsc.com/product-detail/C2845363.html?s_z=n_q_SM04B-SRSS-TB_LF__SN_&spm=wm.fly.bg.2.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlRQQVNZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRTlNADxALGw%3D%3D","https://www.lcsc.com/datasheet/C2845363.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlRQQVNZUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktRTlNADxALGw%3D%3D"
"SM06B-SRSS-TB_LF__SN_","Connector Header Surface Mount, Right Angle 6 position 0.039 (1.00mm)","J1,J9","SM06B-SRSS-TB_LF__SN_:JST_SM06B-SRSS-TB_LF__SN_","2","HCTL","HC-1.0-6PWT","C2845365","https://www.lcsc.com/product-detail/C2845365.html?s_z=n_q_SM06B-SRSS-TB_LF__SN_&spm=wm.fly.bg.2.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlVVRFNXVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVlaUldQRE8GEwkK","https://www.lcsc.com/datasheet/C2845365.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.2.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlVVRFNXVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVlaUldQRE8GEwkK"
"SM08B-SRSS-TB_LF__SN_","Connector Header Surface Mount, Right Angle 8 position 0.039 (1.00mm)","J6","SM08B-SRSS-TB_LF__SN_:JST_SM08B-SRSS-TB_LF__SN_","1","JST","SM08B-SRSS-TB(LF)(SN)","C160407","https://www.lcsc.com/product-detail/C160407.html?s_z=n_q_SM08B-SRSS-TB_LF__SN_&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlVRQlFcVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVlaUldQQk8GEwkK","https://www.lcsc.com/datasheet/C160407.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlVRQlFcVTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVlaUldQQk8GEwkK"
"SMAJ5.0A","400W, 5V, Unidirectional, TVS","D5","SMAJ5.0A:DIOM4325X250N","1","Littelfuse","SMAJ5.0A","C83329","https://www.lcsc.com/product-detail/C83329.html?s_z=s_p_x_SMAJ5.0A&spm=wm.ssy.em.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlZURFFZUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldeU1RRWQkaCgg%3D","https://www.lcsc.com/datasheet/C83329.pdf?spm=wm.sxq.inf.ggs___wm.ssy.em.0.tz&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlZURFFZUDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRldeU1RRWQkaCgg%3D"
"STM32F722RETx","STMicroelectronics Arm Cortex-M7 MCU, 512KB flash, 256KB RAM, 216 MHz, 1.7-3.6V, 50 GPIO, LQFP64","U1","Package_QFP:LQFP-64_10x10mm_P0.5mm","1","ST","STM32F722RET6","C118207","https://www.lcsc.com/product-detail/C118207.html?s_z=s_p_STM32F722RET6&spm=wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlZeQ1FYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C118207.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXlZeQ1FYUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"TestPoint","test point","TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP20,TP21,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50,TP51","TestPoint:TestPoint_Pad_D1.0mm","24","-","-","-","-","-"
"TestPoint","test point","TP11,TP12","TestPoint:TestPoint_Pad_D2.0mm","2","-","-","-","-","-"
"TestPoint","test point","TP13,TP14,TP15,TP16,TP18,TP19,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP32,TP33,TP34,TP35,TP36,TP38,TP39","TestPoint:TestPoint_Pad_1.0x1.0mm","21","-","-","-","-","-"
"TestPoint","test point","TP17,TP31,TP37","TestPoint:TestPoint_Pad_2.0x2.0mm","3","-","-","-","-","-"
"USB4940-00-A_REVA","Type C USB 2.0 Connector","J2","USB4940-00-A_REVA:GCT_USB4940-00-A_REVA","1","YUWENFA","PTCFW-H22S-001","C54829818","https://www.lcsc.com/product-detail/C54829818.html?s_z=n_q_p_USB4940-00-A_REVA&spm=wm.ssy.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXldTRFVbXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlBWVVRRWQkaCgg%3D","https://www.lcsc.com/datasheet/C54829818.pdf?spm=wm.sxq.inf.ggs___wm.ssy.bg.0.xh&lcsc_vid=QlYMBlcCFVkMUFQFQABYU1xXEVhXVFdQRFkMVFMFEVUxVlNeR1NbXldTRFVbXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlBWVVRRWQkaCgg%3D"
"USBLC6-2SC6","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6","U10","Package_TO_SOT_SMD:SOT-23-6","1","ST","USBLC6-2SC6","C7519","https://www.lcsc.com/product-detail/C7519.html?s_z=s_p_USBLC6-2SC6&spm=wm.fly.bg.0.xh&lcsc_vid=R1FaUgJTFVJcVQYFT1ddV1IDQlkPUVNeFgAPXgAAT1UxVlNeR1NYV1ZXRFhaXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D","https://www.lcsc.com/datasheet/C7519.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=R1FaUgJTFVJcVQYFT1ddV1IDQlkPUVNeFgAPXgAAT1UxVlNeR1NYV1ZXRFhaXzsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D"
"W25Q256JVEIQ","SPI Flash Memory with Dual/Quad SPI","U7","W25N04KVZEIR:IC_W25N04KVZEIR","1","Winbond","W25Q256JVEIQ","C97522","https://www.lcsc.com/product-detail/C97522.html?s_z=n_q_W25Q256JVEIQ&spm=wm.fly.bg.0.xh&lcsc_vid=E1ILXgUEQFBXVwUEFFBdAVJSRwJdXlRUE1VeXlEAFFYxVlNeR1JdVFJRRlRcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVlWSQwSGg0%3D","https://www.lcsc.com/datasheet/C97522.pdf?spm=wm.sxq.inf.ggs___wm.fly.bg.0.xh&lcsc_vid=E1ILXgUEQFBXVwUEFFBdAVJSRwJdXlRUE1VeXlEAFFYxVlNeR1JdVFJRRlRcUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktXRVlWSQwSGg0%3D"
